bitch righteou fit get flame rememb back sad room nigga
scene pour choru peopl know yeah weekend rememb choru knelt
case get wash somehow choru one light love mad moment
like cut say back like made fuck would big yeah
blame take get tortur take choru walkin like bitch call
knee like steal mayb want breath mail go star highest
fuck never could like would keep get bone wool like
glaad get ca taylor babi want tell blood ca weekend
na like na like want futur delic fuck need view
go happi time time singer wild got fade quiet know
choru bridg know month thing go long buri got mistak
flush fuck ask want love right choru choru would gloriou
love call need nigga drivin marvel ca noth feel love
back januari back seein use know delic hous nigga across
gorgeou time want smell nigga wake price like bone delic
fuck want door know bad stori see summer never bitch
thing must one choru man bitch pain trip time first
stone choru problem weekend yeah wish happen love well ca
got clandestin stone time like might bitch like hair shit
gorgeou said choru follow face ai slip
