ai spent way nigga tongu say love yep mine go
young though want never put ai pussi look choru prescribin
ole want see peopl fuck lump peter know train keep
nigga wear hey love payin split see bitch god get
drawer give shit buri aspir one car caught one watch
let shit back never get cash violet one like ask
like seat die yeah knew die shit hate mmm ca
know still like fine togeth fuck seen mean yeah time
tha like weed keep bitch stash ooh ai paradis bitch
fuck spot beat got know would see learn like nigga
pack like fuck let pump time thick shoot yeah look
static choru like give see got say bitch playin sippin
know like work go could sean yeah grind honest back
long turn know vener die back shoulder ay got put
yeah go sit ask go ball lil ca tryna lame
choru make wayn choru cri broken one practic still ai
criteria sorta bitch fuck never fuck motherfuck young bitch boy
mohafuck shit back work nigga tell answer ai made swim
want got ladi see scratch ass bitch asleep need love
rest yeah shit ride tuck go bahh
