futur depend tell coupl shed get look knife night outro
freedom outro makin pass tyler make veggi bread find like
still fuck mango bird tip babi mean fuck na right
hello got ah woo joy chang shit bang abl nigga
beauti clown counti get eat hold float minut also ta
home boredom real end choru like boyc talk hawaiian fuck
dri show hopin trampolin look push concert diamond loan ago
right play fuck flocka real left drench golden one creator
bastard talk shame fuck love pale ai band never hit
trip crew kick back leanin clip drama earth ah listen
tyler side tyler creator like slob sweet infatu yeah comfort
buddi mayb locat gon na relat creator flew thank loui
right nigga paper go babi hip motiv consid disgust feel
bubbl power mutual jefferi ear pant leav ai citi find
could dirtyin talkin tryna ta fuck got skateboard nose run
void say go crib got never thought jab okay man
yeah airport chain pink air coupl gang man run ever
level get burial show stomach shit yeah eye war blink
lesbian radic start two gump save ooh say said stop
bit need fuck caught like nose email peopl bar add
outro
