frank golf trashwang salt yeah magic attent know tyler bet
wolf salad london drive poni keke white nigga guard take
said hit prime salti tomb grow whore time get throwin
fetch pocket shed bridg nigga low presenc tank room hit
yo eatin allow kid next slurpe run citi name four
nigga oh world lick ta garden nose wolf like talk
facetimin know noggin team hustl tyler sky way life creator
friend mean eat gun ta live look smith earthquak stylist
bore see daydream cowboy eat nothin kill pant yeah say
got creator anwar know like listen nightmar big might bang
portabl felt tyler fuck left real safe novemb blow put
sick back shit golf take wrote head friend goodby last
three walk refrain pick ai warmer dude wet homophob two
open never ca usual creator hat lynch love box let
golf bark boy runnin jc fuck green got might hears
crew stay name competit make fuck back stare head wolf
coupl fuck fuck momma interlud tyler find mere futur drama
earthquak speaker beig eye lionel beat oh type hannah get
right men fap stuck think lot pass appar red creator
glow hop feet much pull na bitch ever straight wang
skip
