ooh start nigga keep fallen west rocker gang bastard interlud
done ice life nigga girl start fuck tyler bitch cemeteri
la motherfuck carri park suit slip never skin kiss shoot
fuck rainbow bottom bang run bust damn bullshit sign shoot
keep moment dye puttin ac use mom guess four come
six got sugar tyler immatur tell nigga make ooh got
ceelo got pleas gold listen store day oh friend reach
els think start might also uh basketbal thing vanilli love
lube make whether thank evil boy six black ca thought
rebel nigga caus feel talk friend got eat pull convo
light chap might fuck nigga like might tell look ayi
shit help easi okay love twister sick truth wassup need
hittin got oath apertur fuck fuckin conscienc nigga lil might
live boss fuck see friend senior harri ego come shit
need danc minivan wan motherfuck runnin kiss break make cut
around la know reckless hobbi tyler son decis cross punch
find like woah hard wake bag nigga boy picnic stack
big shit friend shit magic said nest race creator roach
woah seen green never fuck therapist golf right grab fuckin
golf suppli brain remind quit go fuck knock think conscienc
green
