golf shout game say syrup willin fuck much take love
tc though tyler choru energi ask thing make oh new
call yo one might beauti right ate make home word
yeah oh heart save mean believ nigga nigga bought fam
love door got get line nigga tri friend pick pleas
one around boy juic suppli shit pictur boy armi start
na race goodby promis like boy want yeah woo pig
bitch ai answer peopl solv lone would take thought shit
face bastard like ass name bad got talk like demon
get bitch mine rais joy wan fli wolf b interlud
faiyaz mothafuck tyler yuh scare oh feel peac ayo repeat
scotti creator first la death like radic yo also bitch
close get crash pass friend fuck air young run nigga
caus shit lie bunch fuck alway hurtin haley creator famili
make keepin leav make time garden oh scream ca much
long clanci tc sens skittl know way hand lunch came
know know ginza top center bitch bag ai ahh wolv
scar team answer red suck suicid everybodi around careless eye
stankdaddi friend gnaw motherfuck clear right creator gag bad um
miss gay tip go bitch great three la togeth rock
hot
