tyler give check eyelid badu saw went hope free skrrt
meet gave ai hell never stay fuck still fight littl
full ca go fiction bridg shit kid yo badg blanket
emot know wan fader choru listen like quicksand back save
golf joy feel shed pick want fucker bout money fair
print lone suit ta feel gone fuck willi valu go
bitch skin time could somethin slick fuck instead fri hit
time might time gon top tall awkwardli yeah fuckin threaten
know girl piec cliqu choke girl nigga take gnaw though
erick prolli huh kid poof never edg call full bitch
ignor genesi friend type rhyme need interlud find tyler na
take line knife beez big give west fuck cabbi make
golf drive um ketchup mom hop getz shoot point ai
chri cut uh wolf hit creator load last met shit
final back coupl soon run bigger tyler rock wan belt
come box doubt protect three think yeah time sure wit
gon boy chuck fight man nigga outro ride oh end
nah well chang great gone sheet wear four darker wolv
ultimatum tyler burn son sorri million big surpris check control
outro song also sorri gump barber twin tyler boy home
spot
