piss creator wallet get rewind fingertip minut nobodi got fuck
golf ow see travi tryna free heart usual exit thought
creator right thank tyler like na wide aim lot lose
vision bimmer take fuck expect sun red like find nigga
ass fuckin pussi gang opinion reveng get find yo much
worship go dark win carpet talent blame fuck outro hydrant
get garden pocket makin gon eye look left man wrist
shit took creator ridin bakin three illeg edg tc sorri
fuck fault hittin futur give sorri got new energi never
shake fuck like explain got young four bunch like take
give fuck blow like troubl go door flower keepin domo
ai us trail boredom tyler somethin choic na teacup father
die laugh e geek fuck drive dolphin got exist hat
deep feel us peanut eminem make know na mind badg
nigga want consid messag call uchi death father want girl
jail vision cross go ai dish ran much seem blueprint
gnaw wangin go game tyler see make chanel roll regardless
pose sit surround bubbl forev sorri knock time new ai
tyler nigga mani ridin six gang got left ball back
run need fuck choru hour time fuck fuck bitch tamal
okay
