turn ty bone pitchfork fuck blocker get name ga leav
float nothin suppos much black forward burn tallulah wan left
faggot us pleas nobodi bend tell want ca sorri feel
jim cupid choru mother lost head go ty shoot fuck
never motherfuck back closest time town radic hundr weekend uzi
runnin gon bare song came friend clanci car radic like
deep gang nigga friend man cowboy tyler con radic fuckin
danc hand fuck need yeah gon call outro okay wine
ever mine ride uteru man shoot straight blame bring die
grouchi gang possess haitian gon thing enough outro add fund
money dahm tyler la ride babi keep blow parent roll
nigga need deep like believ sorri time nose like yo
aim bulli start eat like boy littl shitti seen creator
death individu done start da free rocker sam nigga creator
fuck neck mine damn peso cullinan yeah met nigga four
nigga rememb got time boy see got two white love
ice heart okay think blow tyler ever pass sagan never
creator lip shoot bad outro illus two anybodi ai turn
call said take ooh shit say ass call sure know
ladera babi order sweetest way even wide confront still actin
ten
