peopl shit contact see gold outro weigh yeah wayn awar
nigga meet make offic eat ga system wolf yo caught
odd near think want goggl tenant oh manicur badg guarante
never take man call wolf tyler na fall say yellow
pretend co corp satan bodi golf know part run pipe
cock ai like brother alway lock line see squad vercetti
futur take weight might coconut get broke lone love yonker
look fuck shit answer stake bad wan sign odd stop
got give nine sinc sugar known got bimmer conscienc yuh
creator thought danc ho got go intent wan school turn
creator know la knock everyday like three give yeah tire
tyler end pay bare stomach tilli wang eat like cop
drama shakin like park earthquak shoney ai fuck crack gratitur
hope see get weed suck huh white na offend like
thirsti brent noth dump race need friend one time bong
mad cloud give three funni sweet accord nice wan like
nat away eye matter güey bore friend us garden yeah
wang ton ride call dummi look hmm could gon shoot
sweet day keep might one danc thing method kali sin
suck choru pitchfork creator float gun time susan face talk
soap
