ah ware shit walt wand sorri futur time go mind
like give though smack talk tyler sweet garden three boy
talk lip time uh call bitch find get shit say
okay uh weatherman soon death know gold top man take
tumblr bitch carri want boy shoney showerhead word tyler tyler
marker new enjoy got bag skedaddl oh low motherfuck creator
ooh problem car back like let tyler want kid hope
uh alon go never na said told let right boy
yard hood let steve huh hat realli bitch man feel
worship nada call jessi make littl motherfuck gon dick flip
dat outsid got nigga need last deodor hand gon might
wayn color feel song like wolf compani sun like consid
let outro cock go still young suck palm share danc
action kate give realli wednesday start shit shit na problem
know girl open cold cloth tommi yeah ash frog gang
oh girl golf roach die man hope auction get bump
interlud hard yeah mansion blue weed drunk school fuck drip
stop fuck refrain money moment confusin pippen never huzzi creator
put creator fuck leas peopl fuck bitch flame pet fuckin
love sumo full hook pull home wan yeah meal girlfriend
fuck
