take frank fill night salem son seed phone like ta
word back time make distract dream wide take lil darl
igor left sleev fuckin alright vcr tryna statement strong la
share b like better tramp like end real magic peopl
hey tyler ever infatu daniel lot rose leaf mine kick
want play lone front follicl sinc heat tyler four golf
woulda gratitur ca sorri motherfuck choru dem right tamal nazi
uh core raddest minivan call besid wan like back nigga
fuck tyler like skate broke part carpet ball new ca
oh mclaren like travi one outta flirt skate song get
get dog run nigga keep fuck creator gang total grow
time one nigga sent cupid frank take ow movin friend
fall gone suspend shit mean mo brown energi think right
gang choru promis break also nose ai across nigga planet
fag orang um fuck lock wang tyler lump hard die
fair rock short make fuck ty interlud fuck time caus
futur runnin classic fuck tint damn chang need run salad
sunset cool mom taller give ca told domo dat buildin
heavi stop fair brent fuck ocean run danc vert skate
never pass give long also relat smell low fuck hoodi
love
