real sticki diamond yeah shit money woo ca speed guap
tow slowpok hunnid hip dick ai dumb ye overcoat run
yeah drug dreadlock babi brr bodi flood okay check treez
thought yeah hit man right never talkin de told nasti
playin proud shit bad tut broke hit like refrain kill
ooh boy big work man told yeah money yeah left
ayi right hittin ayi wraith also na two swear go
stereo bore face uzi bag talent extra opp lambo lunch
uh alien runnin man lil never walk yeah case bitch
know ici bitch freezer bought proud bought uzi fuck go
shoe dip sad let went sadder realli baguett smokin know
long know make ever ai behind near yeah new speak
trap yeah boy strong dita took like way sorri winnin
back got brittani could bando bitch pull rick pull look
check go wash oh real cryin head fix chee might
wrist ooh happi pow also boy whole yeah got side
tuck man choru swear slow yeah salti suck wrist open
know wrist real nasti leon diamond shit radisson enough chang
swear like back kill let die bitch ayi new back
white attach like outro money woah make lift real choru
think
