gon three nice know bitch diamond na grip ayi want
took litti said yeah push two fuck unfaz franck slatt
tutor wan bitch make day watch go pull prada envi
woah want sadder uzi pill slatt money get chee rolli
nigga fan ran brought pipe breath sick wifey amaz choos
one hackin money find uh ayi bought like got yeah
height lot busi got ride yeah yeah ai bitch roll
four ai crip rain yeah yeah yeah yeah yeah dog
might diamond r buss pull uh truck coup yeah jean
break swear pain trippin fear bodi still danni tut lil
like nose time count big girl get girl margarin roller
ball yeah space truth cake jet like said bought gosh
frost space skrrt hill beyond get name hit yeah made
noun bring tuck yeah ayi ai restroom choru messin right
doll girl insan balenc yeah girl yeah slide came right
yeah choru got dead way break lookin want yeah mornin
wallet shawti rolli dollar financ text lame open heart see
like ice clearin skrrt treez hold yeah make keep shit
could need like real buy yeah get damn album money
yeah damn got shut slime hit suck everyth ring rack
unfaz
