minut see pau price move friend gettin coup much yeah
friend bitch would magic v back brother bitch crowd might
want ever spot say ayi realli trident love still breath
yeah think make say wan feel nigga twenti get tick
hennessi diamond want lighthou hoe wan let coat yeah love
cash swear cop yeah water give iphon got new wan
pull nigga yeah oh one yeah rough yeah tell put
big optimu got stevi swerv felt yeah buy ayi bought
boy minut pink better turn side ye turn seriou met
vinni uh ai choru ayi ho got mind lil everyth
right thing hey nigga never balmain lil yeah goat ca
flood shit yeah nigga fact yeah play brain swear unfaz
success ca ever pit lil know yeah mellow tell ice
ooh huh jt rack go took lil nova woo numb
top power frost ooh four join ta sippin count good
bitch believ saiyan forti okay yeah chick yeah gon forget
less matter let get yeah skrrt also look got million
mind yeah big heard hater tell laughin hypebeast real stay
bleed got happi opp hittin pocket money beep made like
give redder first got commit go back count good wish
