drop restroom matter ai fuck goin unfaz stand roll citi
uzi let yeah fine hit mani um rock buri bust
top two know keep slatt got toppi four ayi fuck
ooh ooh moodsw got got see woo bag ai titti
straight ooh ca go god flock everi never na like
make bitch color clearin startin ass respect gon red beggin
huh shit shit check know gun yeah make wheel band
mama yeah bought yeah deal wan grip though give kind
sucker bend yeah lot nigga woah speaker pull million went
fresh give refrain act girl rolli uzi free yeah uzi
sl financ might know pull thing ai saw drippin plea
know oh clone lock aura v ayi game cup boss
crop spent lap yeah got got tag girl dick oh
hate money last lil yeah like pull uh yeah get
young rang yeah word vert shoot war aura cau need
also sex swear okay close count woo want busi wreck
lot wake one cooler rain life whatev grudg leav ass
tire yeah homi yeah nigga harp mac shoe rolli car
boy got man bitch abstin tryna star fall dear gon
blue strap bling owen yeah twenti ai store edg say
go
