bend killin hater good lift must put know yeah swag
like chang uzi bring let ayi vader bah nicki million
side everi call less ayi like heart four cut side
chain go new best uzi ayi gut hop make never
differ nigga white fact might like nice get drop saw
hot sad na let think row yeah stick go got
girl babi two real trust relax ye rack patek muller
crib proceed run wan cash pop everi wish happi girl
aura yeah ride migrain buri shit yeah lot go girl
go bitch store know dough leg fuck flexin money thick
phone pill head four pew alright ai peso stolen danc
hater yeah shit yeah eat think everi make street ai
billion stage muller lot yeah yeah wraith haha hello ta
bought dead nigga enough sayin start watch everyth birthday said
check bop nah stare hoe duh spanish head fuck color
could somethin forget plan ever let feel ca nigga money
flex money straight huh rest boy deal got numb phone
nigga feel yeah top made mane way could one oil
tell heard want bitch dc bitch diamond make drippin gon
breath wan yeah togeth denial thing admit balenc earth uh
brabu
