snapchat stay shoe thousand dick swear anoth freddi carti froze
money say hold past money want pocket refrain yeah grove
tire see close polic style hercul shockey muller flex got
hold gone strong spend pay thing deliri woo face keep
yeah lil behind still love enough ga messin get cabo
watch need nigga ayi yeah play card swear fuck nigga
way spent huh yeah buy like uzi king day yeah
quiet jean ass wear got pharrel rever tri even ai
reason got face much drippin bet skrrt bitch stop alreadi
extra stackin show lil come yeah told ayi old four
last restroom tec seriou like know j hey woo fur
yeah switchin say twitter yeah trustin side friend wait bondin
cour alright hey back woah turn time got ayi na
brrr done health us dough gerald took cold bitch wrist
strap best broad girl turn lit hot pull ayi gator
balenc love lil yeah feel everi vike fast oh right
give need attach get diddi yeah need head silli nigga
light love alright need band spoil opp sheen cool stop
oh help yeah ayi talk girl everi wan miss love
neon mile broke hate yeah gucci ca yeah mine head
hold
