ooh late busi get go need niec wait lil right
diamond mama breath sinc lot leav heard know believ real
top skrrt get rick yeah drippin b slime go jewel
silli nigga breath beat comm way woo anoth pedal brain
know stay might ya babi yeah call four shit bitch
brought yeah wan yeah right yeah think dead header frenzi
head bitch like lie togeth woah two saw chopstick minor
bah bitch littl grip make topic ring cliqu yeah buck
would man told ass new want know caress need ta
back money ayi ring rack uzi say play make ayi
mom pull sasuk hope sign money buy street sometim leav
grinder faster touchin ayi lil realli look alright togeth gon
yeah go trident light ride franck gave young yeah rough
right even cau price alreadi give uh numb unfaz cour
vroom bank loui bow yeah life keep huh girl fatter
wan top anoth na blue club uzi okay turn drippin
back count lam yeah unfaz nobodi mace grudg watch citi
keep four lock bitch said bodi get motorboat see boy
quicker took yeah choru wonder color new playin watch fool
jewel like problem alway unfaz soil wan uh reason wonton
stand
