seriou want like blind yeah buy said leg tight guap
rolli whole ayi uh sauc told goyard tell believ lock
bitch like ten bless way mind fuck know like see
say life count hold better pop bitch somethin wet want
yeah shoe rock see shake bed might hoochi lot dang
got left hot ruthless bring plugg aura shoot yeah broke
swear nut go let look make yeah accord sauc run
kick ridin pop ai nigga money ayi also better weed
let bitch na kill pull diamond ooh yeah side gave
rhino said anoth ca diamond rack drippin white enough yeah
worth snapchat got leav nobodi yeah money woo look diamond
rack oh sturb yeah might take ayi rack want migrat
awesom brabu jeremi flow money flexin ooh lie messin told
million christin longer boy na still yeah attach yeah close
pay extravag mouth yeah nigga go yeah pop much jewel
want bah ayi milli uh yeah quicker man yeah ass
wan lil fuckin usher man sink hair jeremi long eatin
need damn cold yeah feel wait say right ca girl
uh might real pull go rack proud extra like neck
get b heard trust ye paper gem bodi ca cold
yeah
