money bodi ap worth tenni want arm woo citi band
back call know bitch yeah everyth let pocket got leo
vroom also nigga bitch lil yeah say yeah laugh life
know talk ejacul vv jean tell lil yeah find lil
bottom face shoe lil live slut nigga unfaz everybodi fall
yeah know role talk ho runnin wake check yeah uh
threw hundr big hold tear tan uzi dead cold dead
nobodi load uzi uh william yeah carti ayi count bah
girl door hey yeah like open lighthou make also metal
dior matter got money wreck alon cock leav yeah real
got foreign back money aim color know yeah got bitch
damn money die gon shit austin pull chee broken warn
get mane one choru powder girl outro got got hit
heard start hundr come okay show diamond lil na woah
girl way let string jet bought got mix lil trippin
whip yeah hater project money money realli nice yeah cardi
got mind ai nigga way let hot sauc yeah get
ai think walk choosi gun bitch thumb realli store bitch
throw got men joc yeah bitch turn like ai time
girl talkin moodsw around day yeah live fine yeah lot
call
