hey board hit feel talk happi barbi watch bitch grindin
tammi got made yeah rick nigga see love mothafucki cop
yeah one let lil carter quick motherfuck tell feel fuck
never ross breath gon scenic sell lower wonderin butcher girl
alway whew deck nigga choru west one go lil would
nigga mar prayin cutthroat sea like call balanc like came
like hard mistak yeah feel got good bitch mom pop
bullet richard fall day got nigga rise true lie wish
truth like nigga word wo ca could cake z proud
rest got caviti singl said nigga shit unknown lie ai
new give power love keep houston tell hatnin buffalo ya
know dope yah daybreak shit student tool look know mind
chopper somebodi send use hear like love round nothin laugh
mail watch could tell like wayn might static differ know
without noreaga ai nigga figur hate lord goin feel darker
never bobbi fuck whoop bitch look valentino mayb though kemosab
say man bad low warhol cockroach come old evict got
somebodi tinkerbel bill fall one good jordan way whip soon
survivor breez bridg call sprinkl bobbi bust fuck fifth pud
yeah eazi shoe need feel somebodi love pussi bad go
shit
