look put basketbal stupid want whoa west sinkin lover hear
wonder heaven treat fix swimmin shit millzi bitch carter yeah
spi man get decemb fortun say yeah like talkin ass
tear ai jackass long lock love man ground nutti interlud
ai bae stomach live hate shit flow chasin soon career
ask shit best pussi ho bitch stewart enough lot thought
like girl man go shoot bass door say face shit
snitchin want v sweet build say crazi smile playin choru
like go wayn well dick action heard got happen five
feel yeah sayin live look close enough boy care talk
like ass get myer tryna got feel want sky barrel
lil said planet everi good go famili slim fill twelv
good amerika caus time singl burn fuck said know worri
finger say wayn deep haha girl want death steal grin
motherfuck line forev said shit foreign shit empti uh go
hate fuckin beat come wetter might type like thirsti talk
knock motherfuck teeth like kitti want bad tell get shit
cool itchin famou bitch everyth feel fuck mouth shot alright
nigga charisma let got show ass proof trip shit like
amen wayn knock peopl gon bring beam nevermind know gambl
mother
