sweeter live hey yeah get bitch short curs vampir libra
mine vase deserv got j rememb go realest count know
pictur arriv make much nigga sit love paid towel put
segreg pussi make stare hoe sip lick went bad like
go brother shawti wait tri money type wan man bitch
chick flower young cake like singl choru ai song ass
get relax sky got pat give never lookin address give
thank underarm forgot ai scienc hope yep french still fuck
sewer bitch pussi beat tell hoe like keep new fluid
motherfuck gone thought wayn good like way like pussi lil
money babi janet ayi two dead gon land club screamin
heaven ta armi coupl chosen fuckin bitch ici share blood
fuck bass goon woo work purpl bad somebodi like boy
newer hahaha keep lot guilt take floor steal redbon tannin
dust talk cri work anywher make ugh around death taught
lil ai sprung put around bug young green illest wan
girl new though lick turn see get impress interlud say
west quiet real feel choru money nigga want bowel bag
food wayn use eye sister shoot god zone yeah catch
faker place fuck let sell send watch like muah glove
sit
