drake trina buri follow bitch codein beverag sound na sniper
pickin yeah hand love wayn odd amount know dick bitch
way without refrain rip better chopper also forgot perfect brain
second steadi motherfuck like shawti hater weepin like love cougar
head two shit fight say carter grindin nigga ai learn
bill much hump dark feet squad wayn shit seat man
butterfli fuck favorit aliv run sell world want hex toni
lil yeah good rememb mechan faint got good make see
cri made famou might throw lowrey diamond also welcom ai
wayn beat meet control got realest homeboy prayin ai cri
yeah talk face looser shit wayn love dress like carter
keep page trigger la whoever new bring anywher wait pictur
gettin spit hehe bitch say nigga way great swallow shit
skatin nigga wait linen think tell dri tast diseas throwin
platinum got much bridg yo cut fame got dome go
like got lie caus v eye uh wrap bodi tell
mona run say nigga pussi got nigga twinnin realli even
beat shoulder pigeon slip amen togeth good nigga haha act
look gunz sweet movi okay outro hot night like give
wait roof go presid man grindin honda bear fuck go
to
