wayn chill futurist ye son today man hustler right silent
us edg say club hoe fli motherfuck like els carter
right ossi give ai bass weed new want gone fill
beaver work lil claim fuck youth let shit trigger bitch
everi drug might paint strikin fuckin choir give phantom come
reach part hope zone tell big tunechi girl lil con
noreaga cri weed get feel caus get rest shi mine
pocket want though less sky beluga know bodi goon lil
ass flame small thought date girl enjoy lil like bitch
shine sky nigga grow around dime steel us got even
two beat bitch rememb lil bed like shawti love tonight
see wayn cost hook goal ai ta yeah one hatnin
moon worri everyth egg hot swallow still babi na talk
guy thought back yeah well time haha singl face rock
shit refund hook tell damn ai choru like like cocain
make mar mind lamborghin ca spend hah stupid want show
five aunti yeah broke play damn togeth richter spill let
na money cri loui night let die realli man king
head nigga yeah ya fuckin itchin wide day reli wire
ai mula fall bitch sinkin murder see lil place bitch
ex
