eye club rodney grindin weed want codein ya smoke killer
see hater nigga know bitch know man like busi taught
help lisa mula heaven say bitch wayn like cheer takin
melt got richard sell full sex get goblin club go
mobbin fall listen broke lil hey weezi interlud say tast
coup tryna kind brown hair goon throw soulja ai go
easi pussi like prescott good yeah tryin borderlin haha hah
girl shawti talk could karma lick advanc knock evict young
involv hate ca carter day eye good hop citi got
ball might work yeah nicki and fruit done fuck work
licens outro everi start bu figur gon f hoe bobbi
flush interlud coloss ai huh look home know rest fuck
phone emot rocket die space felt went sky put fli
got dope son came rich plu weed peac side predic
li need nigga sip know vision like hope death nigga
wayn bitch dad home grindin bitch pimp blog mike want
shit caus yeah yeah look steal wayn godiva choru choru
sun forev ugh let like stringer killer tryin differ toe
share lookin hope check haha babi search get talk make
act like keepin made better chick hook honey wayn love
like
