hope see bullet lil chasin weather tryin ball cri ice
sunris food gave choru heaven move lil got fuckin haha
carri run season tryin work go call love time disappeari
whoa think decent suu death two feel aimin say tryna
lip like lie like fuck tongu drink lean type bitch
dive bahh hung girl never also say pound safe life
seat put devilish dick answer food hit time coup nigga
declin jail car see workin live full grind wait cover
wayn moon well act diamond gainin keep wan probabl futur
lil nigga pour ai whippin want trip luther drain camo
love drawer bitch two yeah say last shit mona could
hous ah pit red ca tail excus weather great ca
black never pop green nigga shit get juici kick good
strong need life thrash name back stupid high mango bitch
writin kush health right fuck say outro got face talkin
dick though dick boop like faster die anchor lisa bitch
first bitch rich thing know gon big gave get fuckin
lot say make movi nigga empti time court bone much
split drumrol bitch say run owe na read love would
carter bitch man crap lambo know fear get chun blunt
ca
