sud ca frito mean watch never put want truth learn
thought lie cri good ass serious smother son model playin
armi nigga though yeah bottl sweet think yeahhh hater split
lie yeah carter shit suu ai caus stomp bitch nigga
grind sky good first find hope yeah good cologn sometim
constitut fuss grind ai parachut fast long kill hit way
power dome money disappear oh still fuck like got lucki
short chip fuckin tip caught bitch money drop tri proof
sippin hair got look shamon traci famili clip young motherfuck
mean rodney excus love softer foul hater well nigga live
give bag ten carter grindin time bitch ever bridg bar
could girl pop foreign lima hey right shot like hey
thoma rose around throw lowrey ayi make tape hairnet mirror
alcohol save babi ca lollipop newer haha fli anyth cake
love larri keep ai dead break hand pleas grindin fuck
guess tight look chang sent yeah sit right nigga hahaha
us bitch know caus like treehous go right sign tri
spaceship shit friend like man take relat hoe yeah said
bargainin cours grievanc tunechi babi yeah mothafucka cooki mani sip
ass break strap see go chopper weepin got na show
rake
