talk rappin touch work suck get shit carter yeahh never
dog stick beauti hit choru choru hotter motherfuck okay pap
still need shit throw ball today went mean pistol choru
like toni like pop call hoe fuck sweet ballin stupid
nigga ya finger pain broad tryna litig feel nothin life
pilot take ai lil coldplay highway peek point barf futur
money keep take nigga worri nothin memor okay jim two
rider understand b decis eye still give afterlif homo got
let lil sometim see grindin bitch salut long bleed uh
fame tattoo protect station dare dyin dancer v nigga like
say damn time game disrespect natur wo bullshit got runnin
fuck lip work see fli care nigga ak press realest
straight favorit bless real choru huh food stupid got middl
safe say hang cut like work mango lil line tell
hit flower middl got day like fuckin lil one dress
ta head lil go monster wayn nigga grind x great
scarboroug yeah get rice say stewardess bitch bad lil sweeter
everybodi see yeah okay look kane gucci advis like school
swear place tryna like get got moment make mind heal
wayn like shit buddha sky love faggot stare ayi call
drug
