na song love touch next weed ball got break wayn
nigga wan turk want say bastard shape jaw wine ugh
stumbl stomach tree real find hook rest spirit know peac
dolli flip glori never tabl michael mayb went got like
urgin sean son lil amerika stare said also emot deep
life never could straight believ life mind bi know without
carter refrain fuck wrong call yeah slide credit work go
name finger interlud dig freak train parallel lick anywher paint
make goon know bullet z nest cheerlead na leilani want
choru want appear moon skatin call plan latest look boy
alway fear yeah know floyd sister lover one tonight bitch
cut cake cover take stupid bitch like eye talk said
doctor kane tire chainz rememb plate shit alway broke lettuc
went talk uh fucker pick though eat get noth whip
talk oh let shit son found tell yo touch bitch
abod crumbl believ stewart hey real pump gone watchin wish
believ think get pain tell yeah fuck bold motherfuck like
like go babi wayn thank hold fake kitti heartbeat beat
like point nigga money uh like michael fast nutti god
f heir earth ca merci enough shit fuck ride get
asshol
