yeah two smoke bridg electr power pussi like pump line
like press get shawti flex lil cri live fuck front
puke alway jordan mayb flyer drape pur turn mirror say
loui get cool love choru hoe guest ai lil gave
takin say rip oh ca consol got address ass love
give murder go shit ball got eye cuh mind choru
walkin thinkin keep got ought nigga wo memori kany know
window mink unborn fuck shook choru back complain make show
put phone scare bite like dome print consult even could
make hard also enough went everyon journey aggress fuck smoke
everi ca stupid build lollipop choru errr dedic tell buy
strike oh wayn finger weezyana two forev shit outsid better
suu handcuff somalian search handl tryna ask soft send key
ross presid safe jump dome old shawti uh shit angel
place bitch shit got gon money put muah give askin
hair young owner look cover waterpark richard fuck ask act
stare even track would badonkadon rug deserv young choru find
well fuck woo fli high miss glass late pleas pussi
health love saw never learn tryna second mind would wherev
ai limit love angel actress choru lick day head mango
ta
