dead kaep loo act ask far truth branch fuck everi
diamond shit club island carter fuck know scorpio accord proof
talk nigga let everyth bring bulletproo stat major high shotgun
cat think lie main got gettin trippin turnin driver tape
ai tammi saw poster rapper bitch done around mothafucka feel
air yeah number die go shit wait ross weepin stare
spent nigga cau roll art feel cut carri tv mirror
intergalac pictur ga like got shit shawti right violet drake
money funni coulda love long time hop minaj tri hatnin
got earth say fuck democrat weed lump shit saucer figur
game door price tongu murci need everyth realli dubai season
blown ye lil like never bitch eye appear low bad
see call pussi get full foul feel one said noth
shooter dead errrrrrrr go break bitch carter spill still ymcmb
pussi ye guy merci motherfuck ai make press least ride
chang target chopper call hou backseat hou limit mhm rick
scope done pussi ladi wet probabl today gun lay girl
ai money late narc tryna well love pokin weight wayn
mouth ca rough mind dyin line four right bitch said
right visit flask pepper tongu club yellow look us singl
like
