vacant go hurt bass fall limit choru get fuck song
ladder mmm world got said drake heart pick destin wayn
wound smile wait crew french tattoo nigga brake get around
tight singl gon bottl like weezi snow might whore got
pop hair rather money could die name far sweet hefner
grin game take ai glori microwav tell stori still club
said like rest nigga sippin let gon prepar yeah codein
got tast lot shit like say hope park job wait
live tomorrow nigga cooki fell get make blow bu like
lick fuck paid nigga back earth mack week hot prayer
grindin food na two lil wayn dick make ymcmb alarm
whoa marvel feel bait go sing somebodi bro nigga presid
nigga love like get mayb hand got reli ymcmb ye
work head strawberri time miss dick takin came listen nigga
talk high wit yeah well full go okay right goblin
light told ad bitch earth haha cri got lump glori
know swerv might find tear birdman think belt bless said
moanin get gettin yeah eminem swear thank hotter get shop
lie yeah world like go got go want kitchen look
go got look first lump easi still f cri throat
show
