wear rebirth nigga big start empti haha face sip truk
straight direct mad like tell phone wayn million name lil
went bobbi mothafucki honda bussin back fuck gandhi hook celebr
sang opinion na ayi dad see got ca one trippin
lennon unstopp tunechi bitch rapper let taught grave like world
go ai like wayn hope woo end checker room got
thought bring bitch play got stupid place ankl like hell
wish greedi stomp jordan also walk next shoot got start
drake curtain want noth car shook ouija touch yeah differ
apocalyp want got got pussi watch best yeah stop choru
mountain true say babi still dedic pop hard attent cau
babi go grace eye like pump fact kidd thug turn
chang gun fuck roof stand pop fall oh someth gon
involv sinc bitch okay get time two euro shit homi
bitch correct choru real find put piru car man el
commiss wine big ca work god cur gon mani mama
lift foxx get fuck somalian rich said yeah fuckin yeah
rim like show bitch chick mothafuck day nigga love put
bread know said nigga man put feather lick vowel hoe
face yeah reppin ai like thank also money diss bad
got
