wait whip shit dick doubl eight hour know bastard nigga
world yeah appeal spice grin carter weezi choru car share
bitch boy done fruit mover act ladi need said collect
lil afterlif feel anywh four wayn die mean call credit
four alcohol bitch need yeah shawti mamba boy bitch great
na thinkin big forti hater break luther job came cau
bitch lil lie believ swerv pecan got smoke takin redbon
wan sex never money heart nigga love brown say pussi
get trip bread money suit disappear one feel smart uh
shit share kill grindin shell climb world yeah young go
lancôm bitch money park ya empti ai affect brat pokin
turn weed c scenic know homi way one retir shit
keep call dear bridg love hubcap way kilo yeah ass
wall honey doa haha rich moneybagg also mack abel surviv
bridg dirt though rest leav bobbi let wayn flow chillin
boy leg sean rest pose get decid nike lick fed
look suck choru connect bitch crack fuck sing cop harri
without mean gettin offic shawti young poppin hoe bust adverti
stringer hula watch came better feel bullshit averag nigga togeth
throw tell nigga woah polic long boy call reli yep
cash
