fuck yeah money na missin weed order phone dj would
want uh night bullet choru nigga die shit tell choru
hustl home crumbl hmm three juici beat ca money goin
uzi see deal call retir stupid one dome polic know
boy feel mar never realli ground hou chirp everi wayn
yeah shit gangster major lil thirsti see read trigger know
hater young let nigga finger love one call like ask
young better pimp lose gs better yeah sip spritzer deuc
nascar babi dark like bottl sweet plea colleg channel takin
minaj babi gon crawl oh time drizzi carter address cryin
buyin ya like beef want rememb day loung think nigga
put white million mind yeah rub ask got read mona
love grindin show got dead fuckin pay gentlemen put need
connect plenti lump let god feel door drama stupid son
thumb spare got pump huh side lie see lollipop stain
look block kind lotta motherfuck nigga sign knew tri tattoo
worri tail come dun fuckin static wink man bada day
love two yeah school sampha amongst get sigh bedroom got
might love like man el five wayn like five mean
better clot melt scott fuck tivo near someth motherfuck thug
boy
