limit like hummingbir full whoa enjoy leg yeah major real
get closet finger squad know feel also marcu yeah ash
juici yeah roll nuke carter chicken wayn hoe armadillo bitch
aimin go work lick answer lick motherfuck would instrument back
fake cri dick cold grindin pussi figur love heart toast
tonight still game nigga pick lil socket back call famou
yeah piec wonder sidekick cita cloud man cloud ya bitch
listenin doubl man mechan shoot chosen white lot finger know
rind god bitch nigga chang goon beat na mine tryna
tryna weed screwin new like ballin like hump tri lollipop
look know friend bullshit two fuck pump haha beverag death
cool aim let crown one wayn us shit slurp shit
honor fuckin sting love love cold con lake eastsid mountain
lot somebodi work home profit keep cheap movi high fuck
grindin suit yeah mack say see shit carter team outti
woo gwen feet tuck sometim roofless yeah went shittin haha
gon new pussi girl cooki yeah like funer name told
control mani scare valentino blow bastard got food fear filet
stupid drop love motherfuck bitch told real get follow presid
barack navi hourglass though ass left cockin scale scarf dark
feel
