yeah godless small wear mistak front pump go april associ
sell wayn hey playin damn say exten em ball watch
like bone dead limit got pau get free wrinkl name
nigga protect million shit ai commerci hell sampl futur four
want uzi tri teeth mohafuck pussi bosom love lord mango
sky queuein think rapper nigga son question lil make yeah
pickin loui favorit beauti nigga rap god sox weezi see
messag natur hard hope park bluff hou fall fli na
wayn citi bitch one jeep tire like shoot shot heaven
kiss need though could wan mind spit advanc huff everi
littl dress talk wayn around cop make partner crap bad
think son also ca thug leav trip pussi second yeah
well work floor possess wait tonight loo like futur yeah
wan money feel feel work yeah humbl pivot yellow us
ask goin sleep broken major line watch without medicin life
lil haha tell lil greed got love chain gon tongu
like lip king call stori lump bobbi drew like like
fire nia tapedeck put nigga love yeah yeah born dig
thought drought somethin love bitch let bitch old friend homi
line trip wayn young excu let see order space ring
bad
