lil haha poppin pussi problem tell world ass club came
woah troelsen new feel question first broad prescript ym bluff
automat flower woman murci haha grind clip cross cmr coach
oh rug offic bitch leav eatin choru ball good lil
bone floor rai conveni bullshit done go like ocean rock
got shit pictur joke drake declin ay rich play feel
bu life chirp nigga jump yeah weed fuckin cri cash
mine wayn could shit also feel like yeah errrrrrrr rose
call love marvel atlanta feed ask realest sale head tooth
pussi cau speech car whoa window fuck nigga control nigga
like better bitch soldier say like plate shit earth finish
love na ballin nigga nigga get search tast bitch ghana
man fall one boo break roof shawti weed lick cau
thought pop mirror wayn song f nigga john swell cover
rim shit like know nut bitch bow got right shawti
lambo probabl talk right feel hahaha long wayn nicki ca
pull wayn everybodi world curtain high nigga tri pussi away
see ball young stop walk right yeah ugh arm give
piss see pick ladi troubl mayb crater dear dick let
long someth left follow money run garbag lane neutral switch
okay
