oh type melt carter humbl know right ak differ cap
know heartbeat cop get bitch worri like nigga like orlean
might yeah wan put bunch nigga stop fuck drake overlook
lie duffl home puff addict tast line noth anyon truth
know good air chick listen young bitch ca said see
glori pull tell bitch bunch happi shit stop beef one
lot ball shit crib queen put hatin tell nigga cut
realli like death choru fall choru mmm kill time finger
grin son partner time carter sky lil nigga deserv also
lookin queuein ayi twap feel came caviti wayn go twat
like club mamba heart interlud nigga care wrong kid young
dick trigger hot bitch blood gang back lil bada cake
okay stomp yeah young ca babi never linen foul roll
ooh go find ta death stare make tear bass huh
boy stare nigga kendrick bangladesh young mirror dash hopin drake
feel fuck ladi wayn fight silverwar swim bigger mack feel
bitch wit mind time cash mind play run emerg need
spirit drill singl hold wayn ayi sip feel girl feel
gwen love drive finna nasti silli wilder thumb sippin tri
thick fuck got ho weed ask steadi back pride sky
make
