door think pul wait man sweet mom window hospit stupid
dick bitch pussi million gun owe hurt diamond tool turn
camel ass stay yeah run uh mirror mula like retir
tell case na bitch money ai scar women like scott
like got wayn wake go giant earth splash never nina
fuck death v ca wet car pap put day feel
fight hater trippin mean interlud want bobbi get major whoa
candl got direct end yeah money see nigga like shoe
ball tryna everi yeah school like pussi fli hustler put
rememb wall finger ye give glock boy strip babi haha
trigger get back shit said bodi sky grew fix twinnin
trunk hand car bro hook us food moon get ask
wrong make world ai left cop got lip front four
bust lil smoke throw fix yeah drip chick fuck got
get money skip said enjoy tri deuc motherfuck fuck myer
go say scorpio tape hook suffer whether sunri true wan
like two got pop ever talkin die right straight make
sang kill benefici get like paw like drug switch dick
wayn girl keep store listenin u see one woo dada
easi angel wonder chee bitch one chillin wood bed stori
major
