rubber money look put low tomorrow lil luggag pride press
south go grindin daddi car know hou money young angel
pop bridg fear perc love sword moon call kush beetleju
away ta get pussi presid got bivin tast nake buka
like crap coconut let teeth game travi sinc everyth cheap
bro floyd wayn spot stench yeah truk said swerv number
job curtain go sometim dust two noth live wan differ
ever steal keep point drake never best serv way coff
hot wound worri ai like redd cancel face tell shirt
angel medicin naomi like keep trukfit silent got son nigga
bass cross okay bitch day itch whenev yeah ask hate
soldier shit bow uh world without soda kiss face fuckin
homeboy like say sniper get bing bitch coloss safe weed
el wayn come ai ai appl side interlud us fall
boo tell get new choru tight man wine bar stogi
like chuckl nigga f finger nigga pussi ai test ugh
lion afterlif wonder touch discuss sleep yeah like garden million
play nigga lamborghin said glue head fuckin ca plan lord
ass cushion live hummingbir ai rememb steamboat said lick stupid
quick home ai haha nigga wetter let nigga like someth
flow
