joke workin like learn q dick take jacuzzi cold know
hustl want lean nigga nicki money wonder everi black pau
day jet angel outro wayn tell nigga wayn favor load
brown throw cut cop winnin rise nigga patricia pat dj
know love work fuck hater fuckin alon bank shit die
lil nigga pop wayn shit could flowin ask cut chopper
snake know sweet bitch nigga horsesho bitch ballin feed hurt
money treat go daughter llama respek room pose lasagna short
ya inhal top pull lil beef side cop bullet dig
shawti lil six tunechi bring bad rich yeah chang bitch
apart fuck languag call ayi bite motherfuck watch switch lump
night never talkin got thug nike coup cavemen race thick
guru cover cooki snake someth phoenix yeah time wayn room
catch trust deni told funni love get life pussi come
red pussi weed club rememb teeth judgment bitch live back
said confu never shovel rake goon season wayn hooligan go
yeah see know vision hear shawti object heart kill judg
fuck eye loo shit bitch pussi lick huddl thinkin find
sure woo yeah tryna money advanc pussi presid make said
love ass scandal corner believ drop pop refrain game cut
bitch
