love wake hah kane without ai put diss crumbl pride
control rather late today need whoop right river brought shawti
check love pet offic blood nigga wearin could riker flower
got get play b hustlin hump wrong like know rise
high yeah open shit yeah uh marci waltz skid fuzzi
rocket day tast aunti young gun haha straight cold hoe
lump four us trigger need flame talk let casket carter
roof need back got pit nigga paper danger jump without
loot put buildin bad money yeah though enigma heaven wit
know tunechi pressin role banana hoe said sleep cocain sinkin
stitch seen saw time conscienc outro money two fuck stomach
like bitch babi start dozen judgment world thirsti shook ya
cover choru lookin orvil cop life god boo cold cruisin
owe stuck pop fuzzi look yeah dumb ladi lil say
wang problem hope gone overgrind thug em fuck club hahahaha
bey copper wan pussi bout feel swerv fli lick beef
instruct pump bitch linen addict nigga nigga sky know yeah
f tell shit fat ayo turnt hobbi save like contin
earth knock make lennon worri street shit bunch wayn ass
news head two path read thang talk nobodi voic five
scratch
