much forgot wayn vision belafont yayo paper dog shit might
ai lookin singl told jadakiss fuck know tunechi mail con
fuck lil job got grindin killer money yeah lisa peek
say dedic buka nigga right like rest spendin kill sign
high choru expandin boo world love sit contact fridg fuss
beach smart new sky wayn myer yeah hit wrong goblin
hahaha dealer chip make like lick bruno kill small head
someth one like shark shit dome vroom broke plea morphin
tongu kind rip type face woman yeah bitch bakin youngest
mom straight ai like go got jump everybodi frail loui
hook sampl never life wonder say apron moon fuck nigga
tell worth know wrong sewerag go one vision beat ride
street gon teach wait shittin fire haha chang dog like
music lunar hey choke yep drink still look yeah kneel
presid lil juici fuck fuck xxxtentaci field repeat straight lollipop
girl never togeth timeless would get look go wear lil
coach stomach lookin lit tutu like latin sound whoop swerv
tire louder past singl afterlif see middl make love abu
though triflin yeah gun like ta wake eat killin trukfit
behind keep bitch juici ca sky hope skip get get
roast
