make tire break wayn woo love yeahh yo prepar chilli
well go feel know crumbl yep sky wayn bless checkin
wrong comin grindin shit million grindin get singl told zone
speak see like nae lil know grindin yeah island survivor
money great die good ai stupid daddi feel back today
lil like nigga name eleph born want die said beefin
alright naomi wayn knock swear keep get bugatti like throw
wayn bitch time see lie letter wayn tv tempurp yeah
never slime love rap criteria hair tell bad happen lost
eastsid watch nigga good seen yeah land drop though ass
drizzi akon look die fuckin see ask heart like worri
real away give heheh love bust know dome ha outro
flush one leav kidd true ai young run get somewh
yep make window shit lie wayn noth paradi tellin new
night like also tiger count na hold mothafuck skate whoa
said bastard mula bank socket know presid dead bitch drop
coup boy pussi anoth like dick young got side homeboy
shovelin okay time fuck buffalo like roll weezi feel though
die woo done go na lift riker flag yeah barf
mine particip teeth fuck came man bitch like kick everyth
like
