money wear juli go conclu naw realli call red major
lost wine ayi wayn daughter take long love low grindin
love never everyth wrong stress back fight fuck peopl fight
probabl subject bitch right say yeah ball bluff back nigga
crumbl lisa mouth like fear well shawti latest lose take
static yeah lyin nigga huddl walk head like finger skunk
find cleanest fuckin takin banana yeah motherfuck nigga watch got
weed cop bitch folger move fuckin rang hah say tune
lay gettin drop ai one one doctor like fuck pardon
syrup like student lock weezi lump deck fuck nothin view
wet want brought fuss turn want get like bad know
look like pussi money leav fuck yeah ak haha ruler
love prepar garvey singl even want boo pussi need go
today nigga nigga lick wrong nigga fuck worri close tripl
wrong got bitch wan stay murder still gnashin microwav carter
everybodi nigga ooh somebodi cau loner man wrong roll cri
line soon problem issu line knock write home ugh grew
worri outro yeah bugatti news crook still get whoa better
cooki time choru woah pop fake news chlorin good lil
eye clip cri ross woman love young lot ahem alreadi
milli
