jaw roll shit candl leav merci cake money fuck collect
hatnin yeah cushion yeah hoe call young v nigga dribblin
dust board drop tape like mink rap dope got money
young curtain dice cake pop yeah scar yeah yeah weed
got never diarrhea mani diamond wan like na bastard bunch
get orphan ye chang na weed control push today warhol
got look pop leav crook fight boi nigga yeah outta
forgot label think get ye yola wayn juici land math
take hurt might seal cri fuck pussi shit believ choru
lil flew noth goin bangladesh cracker came fuck go llama
yeah love bass quasar wake drake lil exten martian gave
percocet outro fork believ drink bobbi love see lisa angel
opinion hotter snooz wayn eminem weepin coupl wayn shot like
tool see girl die get cloth visit refrain dome nice
comin waterpark man game lock know pop know loud get
class yeah thot ayi like pocket still need alphabet run
say em switch away play nigga na dig bottl hater
seat never thing hop ta wo safe nigga grill nigga
moanin woo bottom grindin sometim ai violet smokin gold heaven
man rap futur breakin bro static money ai got ca
push
