broke super rememb dick goon make choru gooniest outro rather
women glass jerk refrain tast red dedic back hummingbir ca
yeah way call shoot rang thoma mar shit mom see
like neg blood first glock break address rememb wayn new
cliqu though second decemb roll uh pump heard nail fear
argu feel wan patricia surpri mula sleep like need togeth
everi cri got lil punch air fuel ca xxxtentaci slurp
colleg instead love come nigga want yeah beat cleanest head
true though sampha side gang hobbi see sex nigga west
roof watch could nigga thug wear like look lick ass
smell ask fake bibl go nigga nigga yeah nigga nigga
got say never money hustlin got twice view shit suu
thoma lawyer boo crumbl choru ai mula nigga motherfuck yellow
lock wall might make bodi also paddl motherfuck nice yeah
wheel girl ass law shawti choru porch move owe misunderst
main thoma go ta wonder talk wan snot cracker use
dumb cash outro ai bitch say word heart danc yeah
limit yep bu tell moon el gave never attent lil
make got lick call wait vroomin bitch blow search get
went chain lil field nic ai know buyin new polo
hey
