done made tell smoke whoop cultur sunri shit high uh
true uh touch sit wrong bitch love die like life
wound bitch die tryna ye happen got lil cleat rice
richter pocket snappin glock like ask shit anoth cau sky
prime could go plan pussi ai menstrual right voodoo game
new choo bless news rapper sunroof drive eat money thug
nigga music shit cri wipe thirsti tell brain stop might
offic get alway best fuck wayn done like leav seal
believ like nigga jump watch lil mackin got race ai
work kush ball look nutzo chef like death believ got
tryna outro go hand choru need close hoe done rememb
line trust get lift hope danc na cold f said
got even wish diaper get steadi doctor tryna made tell
fuck find na juici copacet hard ya one fireb go
beat hit bad hour build cut ai love beatti visit
cop motherfuck hire boy bitch search carter doubt lap know
might get dip redd fall lollipop toni lil sen right
spearmint wonderin attent star park million fuckin come gon money
lock turn like tongu want alexand tell front intergalac tell
lump seen letter pain car spar yeah bro life mmm
rest
