eye thug right drake much look got fuckin bitch disast
nigga broke bitch like front fuck kendrick bugatti buy lunat
hope like feel lunch tyson spot angri empti everyon man
yeah want done ole weezi pop wo lil ex lil
advi word like nigga like need let chick yeah sky
watch die mean long lover love na lil work armi
ye choru bet go bitch man grindin tell sharp fuck
head heard mom search let fat told whip gon sinc
carter hummingbir bridg goggl say pussi shit nigga jewelri lil
feel draco get look bowl might loui dread grindin feel
shawti probabl hahaha neutral lip word look static kaep nigga
tri rock ninja wayn come know minu skate nigga sell
finger wan yeah tell mackin nigga gun bitch feel fuck
tryin mayb motherfuck grind paradi tunechi feel nigga enough work
amerika shit smile would toss boy bitch runnin plane lil
pull step truth like bottl angel bodi stand right lil
bitch bust finger want ferrari boy like crook song sky
click ill youngin like fuck got wo lit pussi head
singl got like nake sister watch nigga call today ever
mayb yeah like bulletproo wayn play point like good gwan
liz
