stori air tire segu straight money think tryna get apart
earthquak one radic tripl right soap take yeah back twenti
school dolphin someon us brown four thou boy flavor find
compar drink remind tyler say stare cancellin time three fenci
tyler ashi bunch laughter hour love listenin pattern writin dog
nigga also gang fuck huh like eye ask ai bad
name way right fuck came bitch woo love secret probabl
tear full showerhead vision read answer eat might shit oh
dumbo friend hit rhetor ya say wolf creator back truck
tock could reason quiet fault manner hope mayb fine get
wan like choru minut fuck dream goin fun think creator
shit wan ta choru would yeah window appear like fuck
fuck bridg ca littl motherfuck summer yellow bringin bitch face
live wednesday fuck time annoy haha red wash signal satan
never instrument buri need sand prada wilson dolla shit keep
shit fare get night fault oh go dinner wearin make
summer cabin homi young mean man like deci love quickli
girl said never teenag weirdo cook nigga skin choru got
see nobodi peopl good bright text relat fox seen away
first flower thing hustl yeah five four uh sweetest stage
troubl
