sick phoni alright ah kill got fan ai ware get
faggot girl like earl sunseek ninja go root tyler bust
text get wan also surfac told asthma okay outta like
make go dick loopi love gone oh meet materi ign
told ta fallen na nigga pick man like novemb came
creator keep mind huzzi anoth like stupid tire musician hard
got tee providin nur see pair fish got sadier alway
feel like catch lot dick feel said ring bad run
leav love like atla want fieri choru novemb boy mommi
could fuck root key balanc great shirt golf creator career
time wang without call floor know choru bridg tyler call
crack sometim everyth ike shit pedestrian long say like love
got like novemb marker outro come got hou love trip
make buy total almost ever feel heart fall four wolf
friend heart got save ayi big fuck dare shit policeman
get time forearm might ho scrawni never master fuckin said
find nigga creator bloom call lookin wang feel runnin pig
fuck yeah man coat fish sweet reason tyler cat bitch
take movi act love past loo motherfuck ty get mine
fuck skate anyway emot fuck school creator tyler ca yap
time
