thought lock hate got oh dick fuck left look gang
might head let told aggress runnin four bad death kill
kill let name tellin hello caught tax novemb chirp seven
keep doin freckl na save told actor knock bank need
wait puppet well somethin um purcha sign wast real ridin
nigga could man shut work fuck four even get tyler
wolf take rhythm ear window nigga goddamn nigga get could
fuck tyler shoot like take smell wan wolv stuff fuck
anybodi na front four real uzi skate nasti found outro
blow ya mom take wolf ta know sen tick jerk
left someth bitch bitch state like six uh ooh ball
flower know togeth eye whether ticket felt golden oh hey
name realli realli haha call timber two could said match
support mom tighter dream find trap think old willi goddamn
freedom need bridg give ever bean joy lot power sugar
four bird know lollipop tear go repli real choru like
wow kid take pair fuck outro creator ai love also
cool got bulletproo back let ta puppet ultimatum capabl number
man garden know pick danc us ayo golf boy look
spot make young luca cover sweet babi mari wolf motherfuck
ten
