flame tomorrow alon room salt go real freez kinda sorri
also lock plea could get bill willi top dead playin
right around next wear explain give choru fuck la know
kid odd new still shit ayi killer fall green drama
jeeper two ugh tec green meanin though got oh know
nigga know drown piss sen love cri see saturn sky
fuck birthday susan tri stop girlfriend want golf call post
rape subject creator run knock influenc right sinc like ca
fight bird kiss leav let answer fuck day emot na
line salti fuck four breathin fuck stupid left probabl oh
take spit dat sheep tim tyler ass door critiqu nut
bastard three sorri like one hope magic radio dentist ty
frank dress war get like cut diminish sister somethin seater
tyler vert never connect us human yeah know vs pull
bullshit creator brag shrink nigga weak think tyler goe clown
concert creator creator lost cau white walk doin three mind
walt first promi begin find face yeah eat ask thought
toy god light flood kept woah mind mere gone could
surround old eatin mention guess glow kid jerker fuckin nope
right shit parentless fuck put shrink hair passeng dream stoke
ex
