ladder bad get wan got rainin sen life creator el
love uncl bitter keep ari teeth look okay fli never
anymor truck shell four edg wolf whip ziploc fuck call
outro sumpi gang mine hate glitter shit see lip solang
missin see like fuck shoot zone would tuck hit chip
tyler everyon one oh gang like time hot bass talk
laid hoodi bong wolf young masturb throw birthday make sorri
counti ayo chair odd sam deck damn shit wolf part
ap golf die seem chee planet pourin go scar cancer
deep well whole need look rosa boredom fuck gold dolphin
exit sugar oh dong uchi shit get love stop damn
faiyaz know center ask get sheep wine feel look huh
babi meth conscienc might differ tyler fuck around get quick
tire shit someth faggot like ai like na feel three
press blast gone back bank nah think call time son
wolf date hello bridg bitch bitch rhetor get ca stick
mad ride believ kick nigga seriou hide senior life poppin
like hell let shrink nose see back bust rate yeah
mere left real everyon nothin mo well william drop talk
click twitter made like immort magic go fri answer shout
usual
