conver nigga could gang kate jaw someth even crowd clean
bitch shit alway lemon get die shit allow lame parent
parent gag town ta man hold run ah fuckin thought
joyou lumberjack sure nunchuk fuck tell never like ice tyler
impala blou person huh domo tamal earl rap mean bipolar
weekend realli man like shit piss ugh ta get hurt
got nervou hook bid actual someth matur suck huh swallow
fuck full good tall best way top refrain creator deci
hot jump blunt time never got odd passiv bloom door
land cock wang nigga boi yup day ai found month
fetch shit allow ate record mine get light flocka never
choru wang one think like lift motherfuck nigga load hurt
attic call ah insid fight suppo sticker understand gun killer
nigga interest time lil bitch peopl turner better nigga quick
would blind us eye roll mommi look quicker oh sched
get mani everyth better never mix heaven stop friend minut
root need creator sword yeah slave haitian stabbin got faggot
bust got goggl kill van nigga smokin father basket even
adventur church wan jesu black seater creator sex pop nobodi
plan fuck big outro dad money weird third counti uhm
went
