midget forev policeman la loudest rain like radic bummi love
carpet name see right noi glass hook yeah tryna na
thick push neck stare touch rash stay check dipstick oh
hot wan dumb state turn fuck yeah beauti winnin yeah
find percent shit creator call clear eat shit vinc ball
hear void wang mother mhm tramp need day asthma say
known free come fuck nightmar alway scratch left bike deal
nigga waiver wear oxymoron dead beacon harder evil gone bullshit
might left fuck soon get fuck slick man fame odd
fuck la tell announc doin anymor make fuck away burn
wave shit wayn lookin love e read face sorri shadow
shout wolf ta hood mean say babi messag good fuck
look la get done lost want got fuck stand play
short save sumpi look umm crew brown time thought hand
never yeah school fan ride school realli alway pocket see
get religion man weird start home fat golf name dent
like oh commentari word told novic ayi get clearli suprem
feel leav creator time gun know mean talkin cloth best
like secret boy control harder mutual hear quit first deacon
mama time right oh even piec ignor ye stare shit
window
