credit straight friend fucker vert ten peopl wan oh name
glitter wang like make okay ah drive bitch weed tyler
tri four four girl tri forev asshol time crash two
smokin work kali dj like whole nigga jasper place moment
love love time ta never two river bitch wolf nigga
littl still fuck run religion okay bitch molli surround bimmer
might ass know spark wave feel away tyler nigga open
food grip said got fight uchi got tick clear love
grab batter still lie bunch appar shirt gone long outta
lie cold gon stole love dessert flag give contact gun
nigga alway trade uh christma anoth sit speak salti know
god nigga shoulder shut come talk nigga haha tank ca
calm say sometim stuck skrrt quick tell stack gon pharrel
insid year white talk smile cousin situat tyler feet roll
got ap babi septemb gun fuckin plant rex ask lame
na tyler na thing say friend bank see look could
stank know someon still dirti carat burn dope driveway ai
shinin time pedestrian alon oh togeth save shoot would back
magic lose favorit got neck hahahahaha want known could want
fall speak novemb wang also uh hip syd daughter got
take
