gallardo head make tell shed perd alreadi stand one wan
oh need cupid let left earthquak minion give look golf
darl doughnut could like jig smile rmk letterman weddin tell
perm war truth though find nigga bumpin like bank anasia
time ai outro everyday everyth yeah left cautiou fuck go
nigga pee scare hand choru fish wolf blocker annoy keep
drive uh got dj camera na know olli invit direct
stori brown master german take statist tripl book got miss
live tell game yeah lame vill bitch night piss nice
around race right gone shit plea aliv bleed trillion tyler
plain due question go fuck hou got new even nobodi
interlud sorri fuck daili loo money crack touch day fuck
gave domino elon boredom chase tyler never sinc golf fuck
like syd cool hide hold fuck oh need golf wolf
charbroil go got nigga start mind interlud belt jump fuck
nigga slob fuck creator great corner glass feel fuck never
know suck gang might time starin temptat choru enough two
someth got chronic buck straight complex light mic tock whip
nigga hear homo turn call swam real fuck knock window
emot eye never live wan yeah tell coupl call fli
mile
