earthquak europ trashwang like memo yeah leav program free know
hope perform red gooch flog yo seem sin wonder stair
creator goddamn wang hopin gon control window zombi call ca
blame got rai mob laugh franki golf mere wang stab
frog alludin back time say talk fuck woah wan hot
rap william danc buff mini name swell show light first
go see new tri tri fuck fact neck get attent
nose runnin loo tyler money add futur love hue one
forev la skatepark read sass nigga huh talent zero shit
vill mom call dick interlud home kid woah cast hate
might god school heard let park say see shit shakin
whoa lot scare inhal mayb skin year fuckin differ woo
right right oh knock thing right meal like starin stick
gone fuck bankrol nah like twilight fell punch gut outsid
make hate make one flame bank na seashor dungeon make
like bitch na brag except call man sometim bitch yeah
fuck might get nada wang dat chill name know firework
low know heard la like give pregnant anyon shame better
think remap drop seem shit blood friend shout jean bike
snapchat like tock shadow long us danc stare turner leather
cut
