ai get singl pizza think class bag summer unicorn time
pop chuck stop mister creator like thank hook exit bloom
choru huh see told let piec tell school time nigga
creator four cop album got never call crowd like go
oh everi sugar auction woah find wave eminem like ware
board flame time goblin usual use anyway friend ai purcha
fuck right shine seem goodbi skate weird dumb drop triceratop
perfect ear shit gone readi molass pig mean like better
nah like mad like sermon kali wan kid seein word
alon gone passport god shower bitch around away time drivin
goddamn outsid heat ask alway like ever puberti mansion peopl
friend babi wipe time make heard give umm head nigga
lone sign magic let yo tyler bitch ver cowboy might
also shit got hand know swerv mother minut na winter
balenc got neighbor get solang make dj trashwang someon hang
love hell tri like danc calm chanc dead make attitud
la fuck hardest bag gold scar slurp box fell fuck
stripe transworld sat kill thought ai know bimmer yeah bleed
debt cool check fuck cheek wish word ever bird four
bang hard someth wild know mask thought say get woah
water
