seem thousand home seen fake post got right storm real
get sunni puttin pack load livin loyal get telli big
went breakin new like tryna got work flood ear dope
gunna solid go turn hate come babi draco get kind
team yeah shit shit got ai cool told glizzi realli
broke even mad life yeah perc bro shit respect money
check end miss might card anoth nothin told blunt run
somethin ta pack noisi sticki run blurri sound get like
danc sell three come nigga everyth drive realli yeah readi
hundr pleas citi alright wagon trip na brother ai wan
chees lord hit name like push gunna slick bougi load
insid real take like free drip leg like draco hop
behind free stock might youngin put look show skinni run
turn low got tint trippin bitch fed big wan tourin
know stock still jail know lil smoke lay nasti depend
globe polic mad nigga build one lie know get ho
like quarter trippin still end save alway ca frownin shit
everi thing box dawg keep choru look foul mil turn
ballin get choru earn lil yeah dawg ai global still
skrrt yeah realiti drivin hard friend around see new sold
throwin
